Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,You enjoy participating in group activities.,You like books and movies that make you come up with your own interpretation of the ending.,Your happiness comes more from helping others accomplish things than your own accomplishments.,You are interested in so many things that you find it difficult to choose what to try next.,You are prone to worrying that things will take a turn for the worse.,You avoid leadership roles in group settings.,You are definitely not an artistic type of person.,You think the world would be a better place if people relied more on rationality and less on their feelings.,You prefer to do your chores before allowing yourself to relax.,You enjoy watching people argue.,You tend to avoid drawing attention to yourself.,Your mood can change very quickly.,You lose patience with people who are not as efficient as you.,You often end up doing things at the last possible moment.,"You have always been fascinated by the question of what, if anything, happens after death.",You usually prefer to be around others rather than on your own.,You become bored or lose interest when the discussion gets highly theoretical.,You find it easy to empathize with a person whose experiences are very different from yours.,You usually postpone finalizing decisions for as long as possible.,You rarely second-guess the choices that you have made.,"After a long and exhausting week, a lively social event is just what you need.",You enjoy going to art museums.,You often have a hard time understanding other people’s feelings.,You like to have a to-do list for each day.,You rarely feel insecure.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.","If your plans are interrupted, your top priority is to get back on track as soon as possible.",You are still bothered by mistakes that you made a long time ago.,You rarely contemplate the reasons for human existence or the meaning of life.,Your emotions control you more than you control them.,"You take great care not to make people look bad, even when it is completely their fault.",Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",You would love a job that requires you to work alone most of the time.,You believe that pondering abstract philosophical questions is a waste of time.,"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",You know at first glance how someone is feeling.,You often feel overwhelmed.,You complete things methodically without skipping over any steps.,You are very intrigued by things labeled as controversial.,You would pass along a good opportunity if you thought someone else needed it more.,You struggle with deadlines.,You feel confident that things will work out for you.,E_I_score,S_N_score,T_F_score,J_P_score,E_I_strength,S_N_strength,T_F_strength,J_P_strength,is_Extraverted,is_Intuitive,is_Feeling,is_Judging,Consistency,Personality,Original_Personality
13,0,0,-2,1,1,0,0,0,-3,0,-1,3,-2,-2,-1,-1,0,1,-1,0,0,-2,0,0,3,0,0,0,0,-1,1,1,3,0,-1,0,-2,-1,2,3,-1,0,0,2,-2,0,-2,0,1,0,0,0,-1,0,1,0,-1,-3,-2,2,-0.25,-0.25,-0.16666666666666666,-0.08333333333333333,0.25,0.25,0.16666666666666666,0.08333333333333333,0,0,0,0,0.1875,ISTP,ENFJ
14,1,-1,0,2,-2,-1,0,0,-3,-1,1,-2,1,-1,-1,-1,-1,1,3,-2,0,-1,0,0,2,-2,-1,0,-1,1,1,0,-2,0,-1,1,-1,1,3,1,0,0,-2,1,2,0,1,0,-2,0,0,0,1,0,2,0,0,1,-1,-3,-0.08333333333333333,-0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0,1,0,0.18749999999999997,ISFP,ESFJ
15,0,0,-1,-2,1,-1,0,0,1,0,-1,2,-1,-2,-1,1,2,2,2,-2,0,1,0,0,-1,2,1,0,0,0,-1,0,1,0,3,0,1,-1,1,0,0,-2,-2,-1,2,0,1,0,2,0,0,0,-2,0,-3,0,-1,2,1,2,-0.3333333333333333,0.4166666666666667,0.25,0.0,0.3333333333333333,0.4166666666666667,0.25,0.0,0,1,1,0,0.25,INFP,ENTP
16,0,0,2,-2,-3,-1,-1,0,0,-1,0,-1,1,3,-2,1,3,0,1,-1,0,1,0,1,0,-1,-2,0,-1,3,0,0,-2,0,-2,-1,-2,-1,2,2,0,1,3,3,-2,0,0,0,-1,0,0,0,-1,0,3,0,0,1,0,-3,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.5,0.16666666666666666,0.3333333333333333,0,1,1,1,0.25,INFJ,ISTJ
17,0,0,2,1,-1,1,0,0,0,0,3,0,1,-2,1,-1,0,1,-2,-1,0,-2,0,0,2,-2,-2,0,-2,0,0,0,-1,-1,0,1,-1,0,2,2,1,1,-1,0,0,0,0,1,0,0,0,0,2,-1,0,0,0,2,-2,0,0.3333333333333333,-0.3333333333333333,0.5833333333333334,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.3333333333333333,1,0,1,0,0.3958333333333333,ESFP,ESFJ
18,0,0,1,2,-2,1,1,0,0,0,-2,2,2,0,-2,1,-1,-2,0,2,0,2,0,0,0,1,1,0,1,-1,-1,-1,-3,0,0,-3,-2,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,-2,0,-2,0,0,1,-1,-2,-0.25,-0.08333333333333333,-0.08333333333333333,0.5833333333333334,0.25,0.08333333333333333,0.08333333333333333,0.5833333333333334,0,0,0,1,0.25,ISTJ,ENFP
19,0,0,-1,-1,2,0,-1,-1,1,0,-2,3,-1,1,2,0,-1,-2,0,-3,0,-2,0,0,-1,-1,0,0,-1,0,1,0,-2,1,-2,-2,-2,1,2,0,2,2,1,1,2,0,-1,0,1,0,0,0,-1,0,0,1,0,1,1,-1,-0.16666666666666666,0.0,-0.6666666666666666,0.5,0.16666666666666666,0.0,0.6666666666666666,0.5,0,0,0,1,0.3333333333333333,ISTJ,INTP
20,0,0,-2,0,2,0,-1,0,-1,0,-1,2,-2,-2,0,2,0,0,1,-1,-1,-1,0,0,-1,0,-1,0,1,0,0,0,-1,0,0,-1,1,-1,0,2,-2,-3,0,-2,0,0,2,0,-1,-1,0,0,1,0,-2,0,0,2,1,0,-0.16666666666666666,0.0,-0.16666666666666666,-0.4166666666666667,0.16666666666666666,0.0,0.16666666666666666,0.4166666666666667,0,0,0,0,0.1875,ISTP,ENTP
21,0,1,0,1,-3,0,-1,0,-3,0,3,3,0,-1,-2,3,-1,-2,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,-1,0,0,-2,-1,2,-2,2,-2,-1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,3,1,-1,0.5,0.0,0.16666666666666666,-0.25,0.5,0.0,0.16666666666666666,0.25,1,0,1,0,0.22916666666666666,ESFP,INTP
22,0,0,0,0,-3,-2,-2,0,-3,0,1,-2,2,1,1,1,-1,0,0,-1,0,0,0,0,0,-1,1,0,3,-1,-3,0,0,0,2,0,1,3,-2,2,-2,-1,-1,-3,-3,1,1,0,0,0,0,0,1,0,-3,0,0,0,-2,1,-0.5,-0.25,0.25,-0.6666666666666666,0.5,0.25,0.25,0.6666666666666666,0,0,1,0,0.41666666666666663,ISFP,ESTJ
23,0,0,2,2,-1,1,-3,0,1,0,2,-2,1,-1,1,-2,3,-1,-1,1,0,0,0,0,-2,-2,-1,0,-3,2,-1,0,1,0,-1,-2,1,1,0,-1,2,-2,-1,0,0,0,2,0,-2,0,0,0,-1,0,2,0,0,3,0,-2,-0.3333333333333333,0.08333333333333333,0.5,-0.5,0.3333333333333333,0.08333333333333333,0.5,0.5,0,1,1,0,0.35416666666666663,INFP,ENFJ
24,0,0,0,2,1,2,0,0,2,0,-1,-1,1,0,0,2,1,0,0,-2,0,0,0,0,-1,0,0,0,2,-1,0,0,0,0,0,3,0,-3,2,-2,0,-1,-2,-1,2,0,1,0,0,0,0,0,-1,1,1,0,0,3,2,2,0.25,-0.16666666666666666,0.4166666666666667,0.75,0.25,0.16666666666666666,0.4166666666666667,0.75,1,0,1,1,0.3958333333333333,ESFJ,ENTP
25,-1,1,3,2,-2,2,-2,0,-1,0,3,2,-1,1,-1,0,2,-2,-3,1,0,-2,0,0,-2,1,-1,0,0,1,0,0,0,-1,0,-3,-1,-2,0,2,-3,-2,1,2,-1,0,1,0,2,0,0,0,2,0,1,0,0,1,0,0,0.16666666666666666,-0.16666666666666666,0.0,0.25,0.16666666666666666,0.16666666666666666,0.0,0.25,1,0,0,1,0.14583333333333331,ESTJ,INTP
26,0,-1,0,0,-1,2,-2,0,1,0,2,1,-1,-2,2,0,-1,2,-2,0,0,3,0,0,-2,2,-1,0,1,2,1,0,-1,0,1,-1,2,3,0,-3,2,-3,0,0,1,1,3,1,2,0,0,0,-2,0,-1,0,0,2,0,-1,0.5,0.16666666666666666,0.3333333333333333,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,1,1,1,0,0.25,ENFP,ENFJ
27,-1,0,0,0,-2,0,0,0,2,0,-1,-2,0,3,1,-2,1,0,0,-3,0,-1,0,0,0,-1,-1,0,-1,-1,-1,0,1,0,0,0,2,-2,2,0,-2,-2,0,0,-2,0,3,0,2,0,0,0,0,0,1,0,0,-2,3,2,-0.6666666666666666,-0.25,0.16666666666666666,0.9166666666666666,0.6666666666666666,0.25,0.16666666666666666,0.9166666666666666,0,0,1,1,0.5,ISFJ,ENTJ
28,0,0,-2,0,-1,0,-3,0,2,0,-2,0,-3,1,2,-1,1,-1,1,0,0,0,0,0,2,0,2,0,-2,-2,2,0,1,0,0,-2,2,2,1,1,1,-1,1,1,-3,0,2,0,-1,1,0,1,-2,0,3,-1,0,-1,-1,3,-0.25,0.16666666666666666,-0.16666666666666666,-0.25,0.25,0.16666666666666666,0.16666666666666666,0.25,0,1,0,0,0.20833333333333331,INTP,ENTJ
29,0,0,-1,1,-1,2,0,0,3,0,-2,-1,0,-2,0,1,-1,1,-3,1,0,1,0,0,2,0,1,0,-1,0,0,0,0,0,-1,2,-2,1,2,-1,0,1,0,0,-2,0,-2,-1,0,0,0,0,1,0,-1,0,0,1,1,-1,0.3333333333333333,-0.4166666666666667,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.0,0.3333333333333333,1,0,0,1,0.2708333333333333,ESTJ,ESFP
30,0,0,-1,0,0,1,1,0,2,0,-1,1,1,-2,0,0,1,1,1,-1,0,-1,0,0,0,-1,0,0,2,0,-3,0,0,1,1,0,-1,-3,-1,1,2,-1,0,3,-2,0,1,0,1,0,0,0,-1,0,1,0,-1,-1,-2,-2,-0.25,-0.08333333333333333,0.08333333333333333,0.4166666666666667,0.25,0.08333333333333333,0.08333333333333333,0.4166666666666667,0,0,1,1,0.20833333333333331,ISFJ,INTJ
31,0,0,-1,1,0,3,0,0,-2,0,0,-2,1,3,0,1,3,1,3,-3,0,-2,0,0,3,0,-2,-1,-1,-3,-2,0,2,0,0,-1,-2,3,-1,-1,1,1,1,2,-3,0,0,0,-1,0,0,0,-1,0,-2,0,0,2,0,0,0.16666666666666666,-0.16666666666666666,0.5833333333333334,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.08333333333333333,1,0,1,1,0.25,ESFJ,ISFJ
32,0,0,-1,1,3,-2,-1,0,0,0,0,1,2,-2,-1,-1,-1,2,0,2,0,0,0,0,-1,1,-1,0,2,0,2,0,-3,0,0,1,1,-1,2,0,1,-1,2,2,1,0,-2,-1,1,0,0,0,-3,0,-1,0,0,3,-1,1,0.08333333333333333,0.0,-0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,1,0,0,1,0.125,ESTJ,ISFP
33,0,0,-1,-1,0,-1,-1,1,-2,0,-2,0,-2,1,1,-2,2,-2,0,0,0,-2,0,0,3,2,-1,1,-1,0,1,0,-1,0,0,2,1,-1,0,0,-1,1,1,-1,1,0,-1,0,2,0,0,1,1,0,-2,0,0,-1,-2,1,0.08333333333333333,0.25,-0.25,-0.4166666666666667,0.08333333333333333,0.25,0.25,0.4166666666666667,1,1,0,0,0.25,ENTP,ESTJ
34,0,0,-1,-1,1,3,0,0,0,0,-2,1,2,0,1,2,-1,0,1,2,0,-2,0,0,0,-2,3,0,-1,1,0,0,-2,0,-2,2,-1,3,1,-2,1,0,-1,2,0,0,2,-1,-1,0,0,0,-2,0,2,0,0,-2,-2,0,0.08333333333333333,-0.08333333333333333,-0.16666666666666666,-0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,1,0,0,0,0.125,ESTP,INTJ
35,0,0,2,-1,1,1,2,0,1,0,2,1,-1,2,-1,-1,0,0,2,-1,0,-3,0,0,2,0,-1,0,0,-1,-2,0,-2,1,1,-2,2,2,0,-3,-3,-2,1,-1,2,0,-1,0,1,0,0,0,1,0,3,0,-1,-1,-2,-1,-0.25,-0.16666666666666666,-0.08333333333333333,0.25,0.25,0.16666666666666666,0.08333333333333333,0.25,0,0,0,1,0.1875,ISTJ,ISTJ
36,0,-1,-1,1,0,0,1,0,-1,0,0,-2,-2,-2,-2,1,2,1,-3,-2,0,-3,0,0,2,0,0,-1,0,2,2,0,-1,0,-1,1,2,0,2,1,1,-2,1,2,-1,0,0,0,2,0,0,0,1,0,1,0,0,-1,1,-1,0.5833333333333334,-0.4166666666666667,-0.25,0.5,0.5833333333333334,0.4166666666666667,0.25,0.5,1,0,0,1,0.4375,ESTJ,INTP
37,0,0,0,-2,2,1,-2,0,0,0,-1,2,2,-1,3,2,-1,0,1,1,1,-2,0,0,1,0,2,1,-2,0,-1,0,-2,0,-1,-1,2,2,1,-1,-2,1,-2,1,0,-1,0,0,-2,0,0,0,-1,0,1,0,0,-1,-1,0,-0.3333333333333333,0.16666666666666666,0.08333333333333333,-0.6666666666666666,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.6666666666666666,0,1,1,0,0.3125,INFP,INTJ
38,0,0,0,1,-1,-2,0,0,2,0,2,-2,0,1,-1,-1,3,2,-2,1,0,-2,0,-1,0,-1,0,0,0,2,0,0,-1,0,1,1,0,3,0,1,2,-3,-1,-2,2,0,1,1,-1,0,0,0,3,0,2,-1,0,2,-2,-1,0.25,-0.3333333333333333,0.4166666666666667,-0.25,0.25,0.3333333333333333,0.4166666666666667,0.25,1,0,1,0,0.3125,ESFP,INFJ
39,0,0,-1,0,2,0,2,0,0,0,-2,2,2,0,-1,1,0,0,2,-1,0,-1,0,0,1,-1,-2,0,0,-1,-1,0,0,1,-1,0,-2,1,-2,1,0,1,0,0,-1,0,1,0,-1,0,-1,0,2,0,0,0,1,0,-2,0,-0.16666666666666666,0.16666666666666666,0.25,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0,1,1,0,0.18749999999999997,INFP,ISFJ
40,0,1,0,0,-1,-1,-2,0,-3,0,-1,1,0,-2,0,0,0,1,1,1,0,-1,0,0,1,-1,-2,-1,-1,2,1,0,-1,0,0,-1,0,3,1,-1,2,2,-1,0,-1,0,3,0,-2,-1,0,0,0,1,1,0,1,0,1,1,-0.16666666666666666,0.5833333333333334,0.3333333333333333,-0.6666666666666666,0.16666666666666666,0.5833333333333334,0.3333333333333333,0.6666666666666666,0,1,1,0,0.4375,INFP,ESFJ
41,0,0,0,0,2,0,2,0,1,0,1,1,-1,2,-2,-1,2,1,0,-1,0,-1,1,0,0,1,-2,0,-2,0,-2,0,-1,0,1,-2,2,0,0,-2,-1,0,-2,-1,0,0,0,0,1,0,1,0,2,0,1,0,0,-1,-1,-2,-0.25,0.3333333333333333,-0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666,0,1,0,1,0.20833333333333331,INTJ,ISTJ
42,0,0,-2,0,2,1,-1,0,1,0,-2,-2,1,0,1,0,0,-1,-2,2,0,-1,-1,0,1,-1,-1,0,0,0,-1,0,0,0,-2,-2,0,0,1,-2,-2,2,0,0,-1,0,-2,-1,1,0,0,0,3,0,0,0,0,-1,1,0,-0.3333333333333333,-0.25,-0.5,0.25,0.3333333333333333,0.25,0.5,0.25,0,0,0,1,0.3333333333333333,ISTJ,ESFP
43,0,0,-2,-2,1,-2,-3,0,0,0,-1,-2,-1,0,2,-1,2,-2,2,0,0,-2,0,0,3,2,0,0,0,0,-2,0,-1,0,2,1,2,1,-2,3,-2,1,1,-1,-1,1,-1,0,3,0,0,0,0,0,0,0,0,-1,0,2,-0.3333333333333333,0.3333333333333333,-0.4166666666666667,-0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0,1,0,0,0.375,INTP,ESTJ
44,0,-1,-1,2,3,1,1,0,-1,0,-1,0,1,-2,2,-1,2,2,1,1,0,1,0,0,-3,3,2,0,1,-1,-2,0,-2,0,1,0,0,-2,0,1,2,-2,-2,1,2,0,0,0,-3,0,0,1,1,0,0,0,0,2,3,0,0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,1,1,0,1,0.10416666666666666,ENTJ,ENTP
45,0,0,1,1,3,-1,-1,0,2,0,0,0,-1,1,0,0,1,1,-1,2,0,0,0,1,-2,0,2,0,2,-2,1,0,-1,0,0,1,0,-1,2,1,2,-2,1,2,1,0,-2,0,1,0,0,-1,-1,0,0,-1,0,2,1,0,0.25,-0.4166666666666667,-0.16666666666666666,0.9166666666666666,0.25,0.4166666666666667,0.16666666666666666,0.9166666666666666,1,0,0,1,0.4375,ESTJ,ISFP
46,0,0,0,-2,-1,0,-2,0,-2,0,0,-2,2,-2,1,-1,1,-1,1,0,0,-1,0,0,2,0,-1,0,-1,1,3,0,-1,0,0,3,-2,2,0,0,1,2,1,2,2,0,2,0,-2,1,0,0,2,0,0,0,0,1,1,1,0.75,0.0,0.4166666666666667,-0.6666666666666666,0.75,0.0,0.4166666666666667,0.6666666666666666,1,0,1,0,0.45833333333333337,ESFP,ESFJ
47,0,0,-2,1,2,1,0,0,1,0,0,-3,1,0,-2,0,0,0,3,1,0,-2,0,-1,0,0,2,0,-1,1,1,0,-2,0,0,1,1,-2,1,-1,1,-1,-2,2,-1,0,-2,1,0,0,0,0,2,0,2,0,0,0,0,3,0.3333333333333333,-0.08333333333333333,-0.3333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.25,1,0,0,1,0.25,ESTJ,ENTP
48,0,0,0,0,1,2,0,1,-1,-1,2,1,-1,1,-3,1,2,1,2,-1,0,0,1,0,1,2,-1,0,-2,-1,-1,0,-1,0,0,-1,1,0,0,-1,-1,-1,-2,-1,0,0,0,0,-2,0,0,-1,2,0,1,0,0,-1,0,-2,0.3333333333333333,0.25,0.08333333333333333,-0.4166666666666667,0.3333333333333333,0.25,0.08333333333333333,0.4166666666666667,1,1,1,0,0.2708333333333333,ENFP,ISTJ
49,0,0,1,-1,0,-3,0,0,1,0,-2,-3,0,0,0,1,2,-1,-1,2,0,-1,0,0,-2,1,3,0,0,-1,-2,0,1,0,1,-3,-2,0,1,-1,-1,-1,1,0,-1,0,2,0,1,0,0,-1,1,-1,2,0,0,0,1,0,-0.5833333333333334,-0.6666666666666666,0.0,0.25,0.5833333333333334,0.6666666666666666,0.0,0.25,0,0,0,1,0.375,ISTJ,ESFJ
